simulation,faulted_line,first_cascade_time,first_cascade_component,first_cascade_reason,num_cascade_events
Line 01 - 39_load=0.8118_wind=0.6915_0.1888_0.3316,Line 01 - 39,2.11,Line 08 - 09DR1,,4
Line 02 - 25_load=0.8118_wind=0.6915_0.1888_0.3316,Line 02 - 25,2.14,NSG_2,OverVoltage,1
Line 08 - 09_load=0.8118_wind=0.6915_0.1888_0.3316,Line 08 - 09,2.85,Line 01 - 39DR2,,3
Line 09 - 39_load=0.8118_wind=0.6915_0.1888_0.3316,Line 09 - 39,2.62,Line 01 - 39DR2,,3
Line 15 - 16_load=0.8118_wind=0.6915_0.1888_0.3316,Line 15 - 16,2.04,NSG_2,OverVoltage,1
Line 16 - 17_load=0.8118_wind=0.6915_0.1888_0.3316,Line 16 - 17,2.31,NSG_2,OverVoltage,1
Line 16 - 19_load=0.8118_wind=0.6915_0.1888_0.3316,Line 16 - 19,1.78,G 05,Over-Speed,1
Line 16 - 21_load=0.8118_wind=0.6915_0.1888_0.3316,Line 16 - 21,2.17,NSG_2,OverVoltage,1
Line 17 - 18_load=0.8118_wind=0.6915_0.1888_0.3316,Line 17 - 18,2.17,NSG_2,OverVoltage,1
Line 28 - 29_load=0.8118_wind=0.6915_0.1888_0.3316,Line 28 - 29,2.24,NSG_2,OverVoltage,1
Line 01 - 02_load=1.0238_wind=0.4003_0.1704_0.848,Line 01 - 02,1.74,Line 08 - 09DR1,,4
Line 01 - 39_load=1.0238_wind=0.4003_0.1704_0.848,Line 01 - 39,1.87,Line 08 - 09DR1,,4
Line 02 - 25_load=1.0238_wind=0.4003_0.1704_0.848,Line 02 - 25,2.21,NSG_2,OverVoltage,18
Line 03 - 04_load=1.0238_wind=0.4003_0.1704_0.848,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 04 - 05_load=1.0238_wind=0.4003_0.1704_0.848,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=1.0238_wind=0.4003_0.1704_0.848,Line 05 - 08,1.47,Line 01 - 39DR2,,5
Line 06 - 07_load=1.0238_wind=0.4003_0.1704_0.848,Line 06 - 07,1.73,Line 01 - 39DR2,,5
Line 06 - 11_load=1.0238_wind=0.4003_0.1704_0.848,Line 06 - 11,3.07,Line 01 - 39DR2,,5
Line 07 - 08_load=1.0238_wind=0.4003_0.1704_0.848,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=1.0238_wind=0.4003_0.1704_0.848,Line 08 - 09,2.0,Line 01 - 02DR1,,4
Line 09 - 39_load=1.0238_wind=0.4003_0.1704_0.848,Line 09 - 39,2.17,Line 01 - 02DR1,,4
Line 10 - 13_load=1.0238_wind=0.4003_0.1704_0.848,Line 10 - 13,1.63,Line 01 - 39DR2,,5
Line 13 - 14_load=1.0238_wind=0.4003_0.1704_0.848,Line 13 - 14,1.63,Line 01 - 39DR2,,5
Line 15 - 16_load=1.0238_wind=0.4003_0.1704_0.848,Line 15 - 16,2.06,NSG_2,OverVoltage,4
Line 16 - 17_load=1.0238_wind=0.4003_0.1704_0.848,Line 16 - 17,2.29,NSG_2,OverVoltage,1
Line 16 - 19_load=1.0238_wind=0.4003_0.1704_0.848,Line 16 - 19,1.87,G 04,Over-Speed,20
Line 16 - 21_load=1.0238_wind=0.4003_0.1704_0.848,Line 16 - 21,2.21,NSG_2,OverVoltage,1
Line 21 - 22_load=1.0238_wind=0.4003_0.1704_0.848,Line 21 - 22,2.28,Line 23 - 24DR2,,77
Line 26 - 29_load=1.0238_wind=0.4003_0.1704_0.848,Line 26 - 29,2.38,NSG_2,OverVoltage,1
Line 28 - 29_load=1.0238_wind=0.4003_0.1704_0.848,Line 28 - 29,1.68,Line 26 - 29DR1,,19
Line 01 - 02_load=1.0856_wind=0.548_0.6139_0.7452,Line 01 - 02,1.78,Line 08 - 09DR1,,4
Line 01 - 39_load=1.0856_wind=0.548_0.6139_0.7452,Line 01 - 39,1.97,Line 08 - 09DR1,,4
Line 02 - 25_load=1.0856_wind=0.548_0.6139_0.7452,Line 02 - 25,2.25,NSG_2,OverVoltage,18
Line 03 - 04_load=1.0856_wind=0.548_0.6139_0.7452,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=1.0856_wind=0.548_0.6139_0.7452,Line 05 - 08,1.61,Line 01 - 39DR2,,5
Line 06 - 07_load=1.0856_wind=0.548_0.6139_0.7452,Line 06 - 07,1.62,Line 01 - 39DR2,,5
Line 08 - 09_load=1.0856_wind=0.548_0.6139_0.7452,Line 08 - 09,2.25,Line 01 - 02DR1,,4
Line 09 - 39_load=1.0856_wind=0.548_0.6139_0.7452,Line 09 - 39,2.81,Line 01 - 02DR1,,4
Line 15 - 16_load=1.0856_wind=0.548_0.6139_0.7452,Line 15 - 16,2.14,NSG_2,OverVoltage,18
Line 16 - 19_load=1.0856_wind=0.548_0.6139_0.7452,Line 16 - 19,1.98,G 04,Over-Speed,18
Line 21 - 22_load=1.0856_wind=0.548_0.6139_0.7452,Line 21 - 22,2.48,NSG_2,OverVoltage,49
Line 28 - 29_load=1.0856_wind=0.548_0.6139_0.7452,Line 28 - 29,1.71,Line 26 - 29DR1,,19
Line 01 - 02_load=0.9321_wind=0.5915_0.7235_0.3833,Line 01 - 02,2.04,NSG_2,OverVoltage,4
Line 01 - 39_load=0.9321_wind=0.5915_0.7235_0.3833,Line 01 - 39,1.87,Line 08 - 09DR1,,4
Line 02 - 03_load=0.9321_wind=0.5915_0.7235_0.3833,Line 02 - 03,1.46,Line 01 - 39DR2,,4
Line 02 - 25_load=0.9321_wind=0.5915_0.7235_0.3833,Line 02 - 25,2.2,NSG_2,OverVoltage,1
Line 03 - 04_load=0.9321_wind=0.5915_0.7235_0.3833,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 04 - 05_load=0.9321_wind=0.5915_0.7235_0.3833,Line 04 - 05,1.46,Line 01 - 39DR2,,5
Line 04 - 14_load=0.9321_wind=0.5915_0.7235_0.3833,Line 04 - 14,1.61,Line 01 - 39DR2,,5
Line 05 - 06_load=0.9321_wind=0.5915_0.7235_0.3833,Line 05 - 06,1.6,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9321_wind=0.5915_0.7235_0.3833,Line 05 - 08,1.46,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9321_wind=0.5915_0.7235_0.3833,Line 06 - 07,1.46,Line 01 - 39DR2,,5
Line 07 - 08_load=0.9321_wind=0.5915_0.7235_0.3833,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9321_wind=0.5915_0.7235_0.3833,Line 08 - 09,2.01,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9321_wind=0.5915_0.7235_0.3833,Line 09 - 39,2.16,Line 01 - 02DR1,,4
Line 15 - 16_load=0.9321_wind=0.5915_0.7235_0.3833,Line 15 - 16,2.11,NSG_2,OverVoltage,1
Line 16 - 17_load=0.9321_wind=0.5915_0.7235_0.3833,Line 16 - 17,2.39,NSG_2,OverVoltage,1
Line 16 - 19_load=0.9321_wind=0.5915_0.7235_0.3833,Line 16 - 19,1.86,G 04,Over-Speed,18
Line 16 - 21_load=0.9321_wind=0.5915_0.7235_0.3833,Line 16 - 21,2.21,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9321_wind=0.5915_0.7235_0.3833,Line 21 - 22,2.32,NSG_2,OverVoltage,51
Line 26 - 29_load=0.9321_wind=0.5915_0.7235_0.3833,Line 26 - 29,2.38,NSG_2,OverVoltage,1
Line 28 - 29_load=0.9321_wind=0.5915_0.7235_0.3833,Line 28 - 29,1.88,Line 26 - 29DR1,,20
Line 01 - 02_load=0.9188_wind=0.3697_0.933_0.1262,Line 01 - 02,1.72,Line 08 - 09DR1,,3
Line 01 - 39_load=0.9188_wind=0.3697_0.933_0.1262,Line 01 - 39,2.12,NSG_2,OverVoltage,3
Line 02 - 25_load=0.9188_wind=0.3697_0.933_0.1262,Line 02 - 25,2.21,NSG_2,OverVoltage,18
Line 03 - 04_load=0.9188_wind=0.3697_0.933_0.1262,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 04 - 05_load=0.9188_wind=0.3697_0.933_0.1262,Line 04 - 05,1.46,Line 01 - 39DR2,,5
Line 05 - 06_load=0.9188_wind=0.3697_0.933_0.1262,Line 05 - 06,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9188_wind=0.3697_0.933_0.1262,Line 05 - 08,1.46,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9188_wind=0.3697_0.933_0.1262,Line 06 - 07,1.47,Line 01 - 39DR2,,5
Line 06 - 11_load=0.9188_wind=0.3697_0.933_0.1262,Line 06 - 11,3.13,Line 01 - 39DR2,,4
Line 07 - 08_load=0.9188_wind=0.3697_0.933_0.1262,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9188_wind=0.3697_0.933_0.1262,Line 08 - 09,2.04,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9188_wind=0.3697_0.933_0.1262,Line 09 - 39,2.24,Line 01 - 02DR1,,4
Line 10 - 13_load=0.9188_wind=0.3697_0.933_0.1262,Line 10 - 13,1.46,Line 01 - 39DR2,,5
Line 13 - 14_load=0.9188_wind=0.3697_0.933_0.1262,Line 13 - 14,1.46,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9188_wind=0.3697_0.933_0.1262,Line 15 - 16,2.16,NSG_2,OverVoltage,1
Line 16 - 17_load=0.9188_wind=0.3697_0.933_0.1262,Line 16 - 17,2.44,NSG_2,OverVoltage,15
Line 16 - 19_load=0.9188_wind=0.3697_0.933_0.1262,Line 16 - 19,1.82,G 04,Over-Speed,18
Line 16 - 21_load=0.9188_wind=0.3697_0.933_0.1262,Line 16 - 21,2.19,NSG_2,OverVoltage,1
Line 17 - 18_load=0.9188_wind=0.3697_0.933_0.1262,Line 17 - 18,2.24,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9188_wind=0.3697_0.933_0.1262,Line 21 - 22,2.34,NSG_2,OverVoltage,71
Line 26 - 29_load=0.9188_wind=0.3697_0.933_0.1262,Line 26 - 29,2.33,NSG_2,OverVoltage,1
Line 28 - 29_load=0.9188_wind=0.3697_0.933_0.1262,Line 28 - 29,1.81,Line 26 - 29DR1,,36
Line 01 - 02_load=1.0951_wind=0.4439_0.6548_0.7527,Line 01 - 02,1.87,Line 08 - 09DR1,,4
Line 01 - 39_load=1.0951_wind=0.4439_0.6548_0.7527,Line 01 - 39,2.13,Line 08 - 09DR1,,4
Line 02 - 03_load=1.0951_wind=0.4439_0.6548_0.7527,Line 02 - 03,1.45,Line 01 - 39DR2,,5
Line 02 - 25_load=1.0951_wind=0.4439_0.6548_0.7527,Line 02 - 25,2.29,NSG_2,OverVoltage,18
Line 08 - 09_load=1.0951_wind=0.4439_0.6548_0.7527,Line 08 - 09,2.96,NSG_2,OverVoltage,3
Line 09 - 39_load=1.0951_wind=0.4439_0.6548_0.7527,Line 09 - 39,2.7,Line 01 - 39DR2,,3
Line 15 - 16_load=1.0951_wind=0.4439_0.6548_0.7527,Line 15 - 16,2.22,NSG_2,OverVoltage,18
Line 16 - 19_load=1.0951_wind=0.4439_0.6548_0.7527,Line 16 - 19,2.01,G 04,Over-Speed,18
Line 21 - 22_load=1.0951_wind=0.4439_0.6548_0.7527,Line 21 - 22,2.42,NSG_2,OverVoltage,18
Line 28 - 29_load=1.0951_wind=0.4439_0.6548_0.7527,Line 28 - 29,1.72,Line 26 - 29DR1,,19
Line 01 - 02_load=1.0992_wind=0.7289_0.7099_0.9874,Line 01 - 02,1.65,Line 08 - 09DR1,,3
Line 01 - 39_load=1.0992_wind=0.7289_0.7099_0.9874,Line 01 - 39,2.08,NSG_2,OverVoltage,20
Line 02 - 25_load=1.0992_wind=0.7289_0.7099_0.9874,Line 02 - 25,2.28,NSG_2,OverVoltage,18
Line 03 - 04_load=1.0992_wind=0.7289_0.7099_0.9874,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 03 - 18_load=1.0992_wind=0.7289_0.7099_0.9874,Line 03 - 18,3.1,Line 01 - 39DR2,,4
Line 04 - 14_load=1.0992_wind=0.7289_0.7099_0.9874,Line 04 - 14,3.01,Line 01 - 39DR2,,4
Line 05 - 06_load=1.0992_wind=0.7289_0.7099_0.9874,Line 05 - 06,2.96,Line 01 - 39DR2,,4
Line 05 - 08_load=1.0992_wind=0.7289_0.7099_0.9874,Line 05 - 08,2.97,Line 01 - 39DR2,,5
Line 06 - 07_load=1.0992_wind=0.7289_0.7099_0.9874,Line 06 - 07,2.97,Line 01 - 39DR2,,4
Line 06 - 11_load=1.0992_wind=0.7289_0.7099_0.9874,Line 06 - 11,3.01,Line 01 - 39DR2,,4
Line 07 - 08_load=1.0992_wind=0.7289_0.7099_0.9874,Line 07 - 08,2.95,Line 01 - 39DR2,,5
Line 08 - 09_load=1.0992_wind=0.7289_0.7099_0.9874,Line 08 - 09,1.86,Line 01 - 02DR1,,4
Line 09 - 39_load=1.0992_wind=0.7289_0.7099_0.9874,Line 09 - 39,1.94,Line 01 - 02DR1,,4
Line 10 - 11_load=1.0992_wind=0.7289_0.7099_0.9874,Line 10 - 11,2.97,Line 01 - 39DR2,,4
Line 10 - 13_load=1.0992_wind=0.7289_0.7099_0.9874,Line 10 - 13,2.97,Line 01 - 39DR2,,4
Line 14 - 15_load=1.0992_wind=0.7289_0.7099_0.9874,Line 14 - 15,3.05,Line 01 - 39DR2,,4
Line 15 - 16_load=1.0992_wind=0.7289_0.7099_0.9874,Line 15 - 16,2.17,NSG_2,OverVoltage,4
Line 16 - 17_load=1.0992_wind=0.7289_0.7099_0.9874,Line 16 - 17,2.47,NSG_2,OverVoltage,18
Line 16 - 19_load=1.0992_wind=0.7289_0.7099_0.9874,Line 16 - 19,2.04,G 05,Over-Speed,18
Line 16 - 21_load=1.0992_wind=0.7289_0.7099_0.9874,Line 16 - 21,3.13,Line 01 - 39DR2,,4
Line 16 - 24_load=1.0992_wind=0.7289_0.7099_0.9874,Line 16 - 24,2.93,Line 01 - 39DR2,,5
Line 17 - 18_load=1.0992_wind=0.7289_0.7099_0.9874,Line 17 - 18,3.08,Line 01 - 39DR2,,4
Line 21 - 22_load=1.0992_wind=0.7289_0.7099_0.9874,Line 21 - 22,2.53,G 06,UV,79
Line 22 - 23_load=1.0992_wind=0.7289_0.7099_0.9874,Line 22 - 23,3.04,Line 01 - 39DR2,,4
Line 23 - 24_load=1.0992_wind=0.7289_0.7099_0.9874,Line 23 - 24,3.1,Line 01 - 39DR2,,4
Line 25 - 26_load=1.0992_wind=0.7289_0.7099_0.9874,Line 25 - 26,3.1,Line 01 - 39DR2,,4
Line 26 - 27_load=1.0992_wind=0.7289_0.7099_0.9874,Line 26 - 27,2.97,Line 01 - 39DR2,,4
Line 28 - 29_load=1.0992_wind=0.7289_0.7099_0.9874,Line 28 - 29,1.7,Line 26 - 29DR1,,19
Line 01 - 02_load=1.0437_wind=0.1044_0.6677_0.948,Line 01 - 02,1.68,Line 08 - 09DR1,,3
Line 01 - 39_load=1.0437_wind=0.1044_0.6677_0.948,Line 01 - 39,2.11,NSG_2,OverVoltage,3
Line 02 - 03_load=1.0437_wind=0.1044_0.6677_0.948,Line 02 - 03,4.59,Line 01 - 39DR2,,4
Line 02 - 25_load=1.0437_wind=0.1044_0.6677_0.948,Line 02 - 25,2.25,NSG_2,OverVoltage,18
Line 03 - 04_load=1.0437_wind=0.1044_0.6677_0.948,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 04 - 05_load=1.0437_wind=0.1044_0.6677_0.948,Line 04 - 05,1.46,Line 01 - 39DR2,,5
Line 05 - 08_load=1.0437_wind=0.1044_0.6677_0.948,Line 05 - 08,2.98,Line 01 - 39DR2,,5
Line 06 - 07_load=1.0437_wind=0.1044_0.6677_0.948,Line 06 - 07,3.0,Line 01 - 39DR2,,4
Line 06 - 11_load=1.0437_wind=0.1044_0.6677_0.948,Line 06 - 11,3.04,Line 01 - 39DR2,,4
Line 07 - 08_load=1.0437_wind=0.1044_0.6677_0.948,Line 07 - 08,3.01,Line 01 - 39DR2,,5
Line 08 - 09_load=1.0437_wind=0.1044_0.6677_0.948,Line 08 - 09,1.94,Line 01 - 02DR1,,4
Line 09 - 39_load=1.0437_wind=0.1044_0.6677_0.948,Line 09 - 39,2.04,Line 01 - 02DR1,,4
Line 10 - 11_load=1.0437_wind=0.1044_0.6677_0.948,Line 10 - 11,3.02,Line 01 - 39DR2,,4
Line 10 - 13_load=1.0437_wind=0.1044_0.6677_0.948,Line 10 - 13,1.69,Line 01 - 39DR2,,5
Line 13 - 14_load=1.0437_wind=0.1044_0.6677_0.948,Line 13 - 14,1.47,Line 01 - 39DR2,,5
Line 16 - 17_load=1.0437_wind=0.1044_0.6677_0.948,Line 16 - 17,2.37,NSG_2,OverVoltage,18
Line 16 - 19_load=1.0437_wind=0.1044_0.6677_0.948,Line 16 - 19,1.89,G 04,Over-Speed,20
Line 16 - 21_load=1.0437_wind=0.1044_0.6677_0.948,Line 16 - 21,2.23,NSG_2,OverVoltage,18
Line 16 - 24_load=1.0437_wind=0.1044_0.6677_0.948,Line 16 - 24,2.97,Line 01 - 39DR2,,4
Line 26 - 29_load=1.0437_wind=0.1044_0.6677_0.948,Line 26 - 29,2.45,NSG_2,OverVoltage,18
Line 28 - 29_load=1.0437_wind=0.1044_0.6677_0.948,Line 28 - 29,1.69,Line 26 - 29DR1,,19
Line 01 - 02_load=0.8682_wind=0.9276_0.9656_0.601,Line 01 - 02,1.88,Line 08 - 09DR1,,4
Line 01 - 39_load=0.8682_wind=0.9276_0.9656_0.601,Line 01 - 39,2.02,Line 08 - 09DR1,,4
Line 08 - 09_load=0.8682_wind=0.9276_0.9656_0.601,Line 08 - 09,2.25,Line 01 - 02DR1,,4
Line 09 - 39_load=0.8682_wind=0.9276_0.9656_0.601,Line 09 - 39,2.45,Line 01 - 02DR1,,4
Line 16 - 19_load=0.8682_wind=0.9276_0.9656_0.601,Line 16 - 19,1.95,G 04,Over-Speed,2
Line 01 - 02_load=1.1136_wind=0.5466_0.7364_0.9908,Line 01 - 02,1.76,Line 08 - 09DR1,,4
Line 01 - 39_load=1.1136_wind=0.5466_0.7364_0.9908,Line 01 - 39,1.94,Line 08 - 09DR1,,4
Line 02 - 25_load=1.1136_wind=0.5466_0.7364_0.9908,Line 02 - 25,2.31,NSG_2,OverVoltage,18
Line 03 - 04_load=1.1136_wind=0.5466_0.7364_0.9908,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 05 - 08_load=1.1136_wind=0.5466_0.7364_0.9908,Line 05 - 08,1.72,Line 01 - 39DR2,,5
Line 06 - 07_load=1.1136_wind=0.5466_0.7364_0.9908,Line 06 - 07,1.67,Line 01 - 39DR2,,5
Line 07 - 08_load=1.1136_wind=0.5466_0.7364_0.9908,Line 07 - 08,1.65,Line 01 - 39DR2,,5
Line 08 - 09_load=1.1136_wind=0.5466_0.7364_0.9908,Line 08 - 09,2.12,Line 01 - 02DR1,,4
Line 09 - 39_load=1.1136_wind=0.5466_0.7364_0.9908,Line 09 - 39,2.37,Line 01 - 02DR1,,4
Line 15 - 16_load=1.1136_wind=0.5466_0.7364_0.9908,Line 15 - 16,3.06,Line 01 - 39DR2,,5
Line 16 - 19_load=1.1136_wind=0.5466_0.7364_0.9908,Line 16 - 19,2.08,G 05,Over-Speed,18
Line 21 - 22_load=1.1136_wind=0.5466_0.7364_0.9908,Line 21 - 22,2.52,NSG_2,OverVoltage,18
Line 28 - 29_load=1.1136_wind=0.5466_0.7364_0.9908,Line 28 - 29,1.72,Line 26 - 29DR1,,19
Line 01 - 02_load=1.0072_wind=0.7099_0.0595_0.8003,Line 01 - 02,1.68,Line 08 - 09DR1,,3
Line 01 - 39_load=1.0072_wind=0.7099_0.0595_0.8003,Line 01 - 39,2.09,NSG_2,OverVoltage,3
Line 02 - 25_load=1.0072_wind=0.7099_0.0595_0.8003,Line 02 - 25,2.22,NSG_2,OverVoltage,18
Line 03 - 04_load=1.0072_wind=0.7099_0.0595_0.8003,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 04 - 05_load=1.0072_wind=0.7099_0.0595_0.8003,Line 04 - 05,1.46,Line 01 - 39DR2,,5
Line 05 - 08_load=1.0072_wind=0.7099_0.0595_0.8003,Line 05 - 08,2.97,Line 01 - 39DR2,,5
Line 06 - 07_load=1.0072_wind=0.7099_0.0595_0.8003,Line 06 - 07,2.99,Line 01 - 39DR2,,4
Line 06 - 11_load=1.0072_wind=0.7099_0.0595_0.8003,Line 06 - 11,3.02,Line 01 - 39DR2,,4
Line 07 - 08_load=1.0072_wind=0.7099_0.0595_0.8003,Line 07 - 08,1.76,Line 01 - 39DR2,,5
Line 08 - 09_load=1.0072_wind=0.7099_0.0595_0.8003,Line 08 - 09,1.9,Line 01 - 02DR1,,4
Line 09 - 39_load=1.0072_wind=0.7099_0.0595_0.8003,Line 09 - 39,1.98,Line 01 - 02DR1,,4
Line 10 - 11_load=1.0072_wind=0.7099_0.0595_0.8003,Line 10 - 11,2.99,Line 01 - 39DR2,,4
Line 10 - 13_load=1.0072_wind=0.7099_0.0595_0.8003,Line 10 - 13,1.46,Line 01 - 39DR2,,5
Line 13 - 14_load=1.0072_wind=0.7099_0.0595_0.8003,Line 13 - 14,1.47,Line 01 - 39DR2,,5
Line 15 - 16_load=1.0072_wind=0.7099_0.0595_0.8003,Line 15 - 16,2.06,NSG_2,OverVoltage,4
Line 16 - 17_load=1.0072_wind=0.7099_0.0595_0.8003,Line 16 - 17,1.9,Line 01 - 39DR2,,5
Line 16 - 19_load=1.0072_wind=0.7099_0.0595_0.8003,Line 16 - 19,1.83,G 04,Over-Speed,20
Line 16 - 21_load=1.0072_wind=0.7099_0.0595_0.8003,Line 16 - 21,2.19,NSG_2,OverVoltage,4
Line 16 - 24_load=1.0072_wind=0.7099_0.0595_0.8003,Line 16 - 24,2.99,Line 01 - 39DR2,,4
Line 17 - 18_load=1.0072_wind=0.7099_0.0595_0.8003,Line 17 - 18,2.21,NSG_2,OverVoltage,1
Line 21 - 22_load=1.0072_wind=0.7099_0.0595_0.8003,Line 21 - 22,2.1,Line 23 - 24DR2,,69
Line 26 - 29_load=1.0072_wind=0.7099_0.0595_0.8003,Line 26 - 29,2.35,NSG_2,OverVoltage,5
Line 28 - 29_load=1.0072_wind=0.7099_0.0595_0.8003,Line 28 - 29,1.67,Line 26 - 29DR1,,19
Line 01 - 02_load=0.8537_wind=0.6003_0.731_0.0718,Line 01 - 02,1.79,Line 08 - 09DR1,,4
Line 01 - 39_load=0.8537_wind=0.6003_0.731_0.0718,Line 01 - 39,1.95,Line 08 - 09DR1,,4
Line 02 - 03_load=0.8537_wind=0.6003_0.731_0.0718,Line 02 - 03,1.45,Line 01 - 39DR2,,5
Line 02 - 25_load=0.8537_wind=0.6003_0.731_0.0718,Line 02 - 25,2.16,NSG_2,OverVoltage,1
Line 03 - 04_load=0.8537_wind=0.6003_0.731_0.0718,Line 03 - 04,1.57,Line 01 - 39DR2,,5
Line 05 - 08_load=0.8537_wind=0.6003_0.731_0.0718,Line 05 - 08,1.62,Line 01 - 39DR2,,5
Line 06 - 07_load=0.8537_wind=0.6003_0.731_0.0718,Line 06 - 07,1.62,Line 01 - 39DR2,,5
Line 06 - 11_load=0.8537_wind=0.6003_0.731_0.0718,Line 06 - 11,1.63,Line 01 - 39DR2,,5
Line 08 - 09_load=0.8537_wind=0.6003_0.731_0.0718,Line 08 - 09,2.3,Line 01 - 02DR1,,4
Line 09 - 39_load=0.8537_wind=0.6003_0.731_0.0718,Line 09 - 39,2.84,Line 01 - 39DR2,,3
Line 10 - 11_load=0.8537_wind=0.6003_0.731_0.0718,Line 10 - 11,1.66,Line 01 - 39DR2,,5
Line 15 - 16_load=0.8537_wind=0.6003_0.731_0.0718,Line 15 - 16,2.1,NSG_2,OverVoltage,1
Line 16 - 17_load=0.8537_wind=0.6003_0.731_0.0718,Line 16 - 17,2.39,NSG_2,OverVoltage,1
Line 16 - 19_load=0.8537_wind=0.6003_0.731_0.0718,Line 16 - 19,1.8,G 05,Over-Speed,1
Line 16 - 21_load=0.8537_wind=0.6003_0.731_0.0718,Line 16 - 21,2.2,NSG_2,OverVoltage,1
Line 21 - 22_load=0.8537_wind=0.6003_0.731_0.0718,Line 21 - 22,2.29,NSG_2,OverVoltage,1
Line 26 - 29_load=0.8537_wind=0.6003_0.731_0.0718,Line 26 - 29,2.35,NSG_2,OverVoltage,1
Line 28 - 29_load=0.8537_wind=0.6003_0.731_0.0718,Line 28 - 29,2.28,NSG_2,OverVoltage,1
Line 01 - 02_load=0.9397_wind=0.9772_0.0813_0.5636,Line 01 - 02,2.06,NSG_2,OverVoltage,3
Line 01 - 39_load=0.9397_wind=0.9772_0.0813_0.5636,Line 01 - 39,1.88,Line 08 - 09DR1,,4
Line 02 - 03_load=0.9397_wind=0.9772_0.0813_0.5636,Line 02 - 03,1.45,Line 01 - 39DR2,,5
Line 02 - 25_load=0.9397_wind=0.9772_0.0813_0.5636,Line 02 - 25,2.2,NSG_2,OverVoltage,1
Line 03 - 04_load=0.9397_wind=0.9772_0.0813_0.5636,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9397_wind=0.9772_0.0813_0.5636,Line 05 - 08,1.46,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9397_wind=0.9772_0.0813_0.5636,Line 06 - 07,1.59,Line 01 - 39DR2,,5
Line 07 - 08_load=0.9397_wind=0.9772_0.0813_0.5636,Line 07 - 08,1.61,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9397_wind=0.9772_0.0813_0.5636,Line 08 - 09,1.98,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9397_wind=0.9772_0.0813_0.5636,Line 09 - 39,2.1,Line 01 - 02DR1,,4
Line 14 - 15_load=0.9397_wind=0.9772_0.0813_0.5636,Line 14 - 15,1.61,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9397_wind=0.9772_0.0813_0.5636,Line 15 - 16,2.06,NSG_2,OverVoltage,4
Line 16 - 17_load=0.9397_wind=0.9772_0.0813_0.5636,Line 16 - 17,2.3,NSG_2,OverVoltage,1
Line 16 - 19_load=0.9397_wind=0.9772_0.0813_0.5636,Line 16 - 19,1.86,G 04,Over-Speed,18
Line 16 - 21_load=0.9397_wind=0.9772_0.0813_0.5636,Line 16 - 21,2.18,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9397_wind=0.9772_0.0813_0.5636,Line 21 - 22,2.29,NSG_2,OverVoltage,36
Line 26 - 29_load=0.9397_wind=0.9772_0.0813_0.5636,Line 26 - 29,2.36,NSG_2,OverVoltage,1
Line 28 - 29_load=0.9397_wind=0.9772_0.0813_0.5636,Line 28 - 29,1.77,Line 26 - 29DR1,,8
Line 01 - 02_load=1.0829_wind=0.4527_0.3378_0.9031,Line 01 - 02,1.93,Line 08 - 09DR1,,4
Line 01 - 39_load=1.0829_wind=0.4527_0.3378_0.9031,Line 01 - 39,2.21,Line 08 - 09DR1,,4
Line 02 - 03_load=1.0829_wind=0.4527_0.3378_0.9031,Line 02 - 03,1.45,Line 01 - 39DR2,,5
Line 02 - 25_load=1.0829_wind=0.4527_0.3378_0.9031,Line 02 - 25,2.28,NSG_2,OverVoltage,1
Line 08 - 09_load=1.0829_wind=0.4527_0.3378_0.9031,Line 08 - 09,2.95,NSG_2,OverVoltage,3
Line 09 - 39_load=1.0829_wind=0.4527_0.3378_0.9031,Line 09 - 39,2.66,Line 01 - 39DR2,,3
Line 15 - 16_load=1.0829_wind=0.4527_0.3378_0.9031,Line 15 - 16,2.21,NSG_2,OverVoltage,1
